ss://MjAyMi1ibGFrZTMtY2hhY2hhMjAtcG9seTEzMDU6SFdCWGhKb3hySXlOckVOSklpcHQ5RlZuenFSQUJtdVhqU1cwSHRnTkdJMD0@129.148.44.181:59319#BR | 129.148.44.181 | 179ms
ss://MjAyMi1ibGFrZTMtY2hhY2hhMjAtcG9seTEzMDU6U1AxTTBJaXBqdnRzdUtWeW45VTJpSytaS3V1UTBhZlZoTENpY0s5cE84WT0@163.176.6.223:59319#BR | 163.176.6.223 | 174ms
ss://MjAyMi1ibGFrZTMtY2hhY2hhMjAtcG9seTEzMDU6bHBZTmlQaXdKMXJWMUhTbVQ1eXpITGNMc3Y5cVZnWElYV1N1Tnczb2hoWT0@163.176.194.118:59319#BR | 163.176.194.118 | 179ms
vless://714e1212-6707-471e-9f40-2fbd3d8d3b4b@201.24.49.233:2200?path=/v1&security=&encryption=none&host=rzd.ru&type=ws#BR | 201.24.49.233 | 180ms
vless://714e1212-6707-471e-9f40-2fbd3d8d3b4b@201.24.49.233:4100?encryption=none&type=ws&security=none&path=%2Fv1&host=live.ok.ru#BR | 201.24.49.233 | 180ms
vless://714e1212-6707-471e-9f40-2fbd3d8d3b4b@201.24.49.233:2200?encryption=none&type=ws&security=none&path=%2Fv1&host=rzd.ru#BR | 201.24.49.233 | 180ms
ss://MjAyMi1ibGFrZTMtY2hhY2hhMjAtcG9seTEzMDU6SFdCWGhKb3hySXlOckVOSklpcHQ5RlZuenFSQUJtdVhqU1cwSHRnTkdJMD0=@129.148.44.181:59319#BR | 129.148.44.181 | 188ms
ss://2022-blake3-chacha20-poly1305:SP1M0IipjvtsuKVyn9U2iK%2BZKuuQ0afVhLCicK9pO8Y%3D@163.176.6.223:59319#BR | 163.176.6.223 | 179ms
ss://MjAyMi1ibGFrZTMtY2hhY2hhMjAtcG9seTEzMDU6bHBZTmlQaXdKMXJWMUhTbVQ1eXpITGNMc3Y5cVZnWElYV1N1Tnczb2hoWT0=@163.176.194.118:59319#BR | 163.176.194.118 | 175ms
ss://2022-blake3-chacha20-poly1305:HWBXhJoxrIyNrENJIipt9FVnzqRABmuXjSW0HtgNGI0%3D@129.148.44.181:59319#BR | 129.148.44.181 | 174ms
ss://MjAyMi1ibGFrZTMtY2hhY2hhMjAtcG9seTEzMDU6U1AxTTBJaXBqdnRzdUtWeW45VTJpSytaS3V1UTBhZlZoTENpY0s5cE84WT0=@163.176.6.223:59319#BR | 163.176.6.223 | 179ms
ss://2022-blake3-chacha20-poly1305:lpYNiPiwJ1rV1HSmT5yzHLcLsv9qVgXIXWSuNw3ohhY%3D@163.176.194.118:59319#BR | 163.176.194.118 | 174ms
